sample_name	sampletype	subtype
DUX4-1	BCP-ALL	DUX4
DUX4-2	BCP-ALL	DUX4
DUX4-3	BCP-ALL	DUX4
DUX4-4	BCP-ALL	DUX4
DUX4-5	BCP-ALL	DUX4
DUX4-6	BCP-ALL	DUX4
DUX4-7	BCP-ALL	DUX4
DUX4-8	BCP-ALL	DUX4
DUX4-9	BCP-ALL	DUX4
DUX4-10	BCP-ALL	DUX4
DUX4-11	BCP-ALL	DUX4
ETV6-RUNX1-1	BCP-ALL	ETV6::RUNX1
ETV6-RUNX1-2	BCP-ALL	ETV6::RUNX1
ETV6-RUNX1-3	BCP-ALL	ETV6::RUNX1
ETV6-RUNX1-4	BCP-ALL	ETV6::RUNX1
HeH-1	BCP-ALL	HeH
HeH-2	BCP-ALL	HeH
HeH-3	BCP-ALL	HeH
HeH-4	BCP-ALL	HeH
BCR-ABL1-1	BCP-ALL	BCR::ABL1
BCR-ABL1-2	BCP-ALL	BCR::ABL1
BCR-ABL1-3-R	BCP-ALL	BCR::ABL1
BCR-ABL1-3	BCP-ALL	BCR::ABL1
NBM-3-MNC	NBM	NBM-MNC
NBM-1-MNC	NBM	NBM-MNC
NBM-2-MNC	NBM	NBM-MNC
NBM-5-CD34	NBM	NBM-CD34
NBM-4-CD34	NBM	NBM-CD34
NBM-3-CD34	NBM	NBM-CD34
NBM-5-CD19	NBM	NBM-CD19
NBM-4-CD19	NBM	NBM-CD19
NBM-3-CD19	NBM	NBM-CD19
